"filename", "language", "JavaScript", "CSS", "HTML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Artem\Documents\Project\LearnIT\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\Artem\Documents\Project\LearnIT\build\asset-manifest.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Users\Artem\Documents\Project\LearnIT\build\home.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 38
"c:\Users\Artem\Documents\Project\LearnIT\build\index.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Artem\Documents\Project\LearnIT\build\precache-manifest.235954b715b509aee62df9cc55aa4c45.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 26
"c:\Users\Artem\Documents\Project\LearnIT\build\service-worker.js", "JavaScript", 11, 0, 0, 0, 0, 17, 7, 35
"c:\Users\Artem\Documents\Project\LearnIT\build\static\css\2.90456dce.chunk.css", "CSS", 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\Artem\Documents\Project\LearnIT\build\static\css\main.e193d6e2.chunk.css", "CSS", 0, 1, 0, 0, 0, 1, 0, 2
"c:\Users\Artem\Documents\Project\LearnIT\build\static\js\2.339374bd.chunk.js", "JavaScript", 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Artem\Documents\Project\LearnIT\build\static\js\main.aff91d78.chunk.js", "JavaScript", 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Artem\Documents\Project\LearnIT\build\static\js\runtime~main.a8a9905a.js", "JavaScript", 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\Artem\Documents\Project\LearnIT\package-lock.json", "JSON", 0, 0, 0, 0, 18670, 0, 1, 18671
"c:\Users\Artem\Documents\Project\LearnIT\package.json", "JSON", 0, 0, 0, 0, 41, 0, 1, 42
"c:\Users\Artem\Documents\Project\LearnIT\public\home.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 38
"c:\Users\Artem\Documents\Project\LearnIT\public\index.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 18
"c:\Users\Artem\Documents\Project\LearnIT\src\App.js", "JavaScript", 51, 0, 0, 0, 0, 0, 11, 62
"c:\Users\Artem\Documents\Project\LearnIT\src\AppWithoutEpic.js", "JavaScript", 102, 0, 0, 0, 0, 0, 24, 126
"c:\Users\Artem\Documents\Project\LearnIT\src\css\components.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 3
